 12, -12.132, -11.922,  -9.671,  -9.542,  -9.178,  -8.952,  -8.929,  -8.909,  -8.730,  -8.712,  -7.856,  -7.708,  -7.471,  -7.402,  -7.321,  -6.964,  -6.820,  -6.712,  -6.406,  -6.354,  -6.217,  -5.531,   1.672,   1.688,   2.099,   2.182,   4.522,   5.041,   5.135,   6.004,  13.456,  13.505,  13.714,  13.754,  15.156,  15.588,  16.940,  17.719,  18.311,  19.308,  25.655,  25.940,  26.524,  26.913,  28.087,   -6.061
 13, -12.052, -11.844,  -9.631,  -9.500,  -9.164,  -8.964,  -8.954,  -8.890,  -8.776,  -8.709,  -7.909,  -7.829,  -7.467,  -7.321,  -7.302,  -7.057,  -6.844,  -6.560,  -6.390,  -6.376,  -6.207,  -5.602,   0.838,   0.884,   2.264,   2.319,   4.628,   5.373,   6.056,   6.799,  12.659,  12.721,  13.009,  13.066,  15.424,  15.841,  17.830,  18.495,  19.120,  20.011,  24.577,  24.819,  26.588,  26.967,  29.223,   -6.061
 14, -11.921, -11.717,  -9.567,  -9.433,  -9.141,  -9.017,  -8.954,  -8.864,  -8.847,  -8.704,  -7.984,  -7.947,  -7.459,  -7.326,  -7.228,  -7.147,  -6.886,  -6.408,  -6.386,  -6.385,  -6.164,  -5.711,  -0.060,  -0.001,   2.532,   2.543,   4.750,   5.518,   7.285,   7.950,  11.794,  11.832,  12.212,  12.234,  15.642,  16.054,  18.895,  19.471,  20.222,  20.994,  23.542,  23.742,  26.692,  27.053,  29.803,   -6.061
 15, -11.743, -11.544,  -9.486,  -9.353,  -9.110,  -9.079,  -8.949,  -8.935,  -8.834,  -8.699,  -8.069,  -8.052,  -7.445,  -7.341,  -7.241,  -7.198,  -6.942,  -6.443,  -6.403,  -6.195,  -6.069,  -5.849,  -0.918,  -0.873,   2.848,   2.891,   4.914,   5.664,   8.618,   9.254,  10.929,  10.941,  11.361,  11.417,  15.856,  16.250,  20.040,  20.542,  21.450,  22.075,  22.588,  22.725,  26.832,  27.169,  29.537,   -6.061
 16, -11.523, -11.332,  -9.406,  -9.306,  -9.106,  -9.074,  -9.022,  -8.942,  -8.801,  -8.694,  -8.153,  -8.140,  -7.426,  -7.373,  -7.340,  -7.218,  -7.010,  -6.476,  -6.436,  -6.003,  -5.989,  -5.928,  -1.709,  -1.691,   3.228,   3.331,   5.124,   5.836,   9.981,  10.042,  10.177,  10.485,  10.568,  10.745,  16.096,  16.458,  21.234,  21.649,  21.668,  21.772,  22.620,  23.116,  27.001,  27.307,  28.102,   -6.061
 17, -11.268, -11.090,  -9.384,  -9.365,  -9.056,  -9.033,  -9.030,  -8.934,  -8.769,  -8.690,  -8.233,  -8.207,  -7.442,  -7.424,  -7.399,  -7.284,  -7.082,  -6.505,  -6.476,  -6.161,  -5.771,  -5.754,  -2.433,  -2.417,   3.676,   3.842,   5.382,   6.040,   9.183,   9.365,   9.622,   9.954,  11.512,  12.129,  16.379,  16.694,  20.824,  20.891,  22.456,  22.824,  23.234,  23.541,  27.185,  27.308,  27.453,   -6.061
 18, -10.987, -10.829,  -9.483,  -9.479,  -8.992,  -8.987,  -8.926,  -8.912,  -8.740,  -8.690,  -8.307,  -8.249,  -7.540,  -7.492,  -7.387,  -7.366,  -7.151,  -6.528,  -6.518,  -6.310,  -5.551,  -5.543,  -3.085,  -3.033,   4.183,   4.413,   5.689,   6.274,   8.357,   8.667,   8.779,   9.330,  13.043,  13.651,  16.713,  16.970,  20.076,  20.081,  22.598,  22.908,  23.686,  23.987,  27.356,  27.575,  27.851,   -6.061
 19, -10.694, -10.563,  -9.649,  -9.630,  -8.956,  -8.919,  -8.870,  -8.798,  -8.716,  -8.691,  -8.380,  -8.264,  -7.622,  -7.565,  -7.506,  -7.329,  -7.208,  -6.558,  -6.545,  -6.437,  -5.328,  -5.307,  -3.635,  -3.548,   4.742,   5.038,   6.047,   6.526,   7.574,   7.964,   8.029,   8.795,  14.625,  15.218,  17.105,  17.289,  19.344,  19.414,  21.203,  21.602,  24.892,  25.117,  27.453,  27.611,  29.248,   -6.061
 20, -10.401, -10.313,  -9.863,  -9.798,  -8.930,  -8.915,  -8.752,  -8.717,  -8.701,  -8.694,  -8.454,  -8.254,  -7.672,  -7.628,  -7.611,  -7.297,  -7.246,  -6.587,  -6.555,  -6.526,  -5.102,  -5.087,  -4.059,  -3.936,   5.332,   5.710,   6.457,   6.758,   6.849,   7.179,   7.451,   8.392,  16.244,  16.814,  17.557,  17.637,  18.677,  18.858,  19.602,  20.066,  26.006,  26.143,  27.364,  27.438,  30.971,   -6.061
 21, -10.161, -10.161, -10.077,  -9.921,  -8.920,  -8.913,  -8.696,  -8.696,  -8.688,  -8.688,  -8.500,  -8.243,  -7.685,  -7.656,  -7.656,  -7.284,  -7.259,  -6.598,  -6.559,  -6.559,  -4.975,  -4.975,  -4.251,  -4.104,   5.759,   6.378,   6.378,   6.472,   6.866,   6.866,   6.985,   8.227,  17.835,  17.835,  17.835,  18.005,  18.330,  18.330,  18.520,  18.630,  26.904,  26.904,  26.906,  26.969,  31.105,   -6.061
